 summary,subscriptionId,calPath,guid,recurrenceId,link,eventlink,status,startallday,startshortdate,startlongdate,startdayname,starttime,startutcdate,startdatetime,starttimezone,endallday,endshortdate,endlongdate,enddayname,endtime,endutcdate,enddatetime,endtimezone,locationaddress,locationlink,contactname,contactphone,contactlink,calendarname,calendardisplayName,calendarpath,calendarencodedPath,categories,description,cost,xproperties 
" Adventure Club: Crafts, Movies, and More",,%2Fpublic%2Fcals%2FMainCal,20160127-000002-BELLEVUE-201603011600%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160127-000002-BELLEVUE-201603011600%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,3/1/2016,1-Mar-16,Tuesday,4:00 PM,20160301T220000Z,20160301T160000,America/Chicago,FALSE,3/1/2016,1-Mar-16,Tuesday,4:00 PM,20160301T220000Z,20160301T160000,America/Chicago,Bellevue,http://www.library.nashville.org/locations/loc_bellevue.asp,Bellevue,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"location/Bellevue,Children,Locations,Series","School-age children can join us for crafts, activities, special guests, movies, and more! There's something new every week. Grades K-4.",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Bellevue,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Children "
" Teen Studio: Crafts, Gaming, Robotics, and More",,%2Fpublic%2Fcals%2FMainCal,CAL-2a3e9ebb-52cca996-0152-cd10235d-0000734ddemobedework%40mysite.edu,20160301T221500Z,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=CAL-2a3e9ebb-52cca996-0152-cd10235d-0000734ddemobedework%40mysite.edu&amp;recurrenceId=20160301T221500Z,CONFIRMED,FALSE,3/1/2016,1-Mar-16,Tuesday,4:15 PM,20160301T221500Z,20160301T161500,America/Chicago,FALSE,3/1/2016,1-Mar-16,Tuesday,4:15 PM,20160301T221500Z,20160301T161500,America/Chicago,Bellevue,http://www.library.nashville.org/locations/loc_bellevue.asp,Bellevue,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"Arts and Crafts,series/Studio NPL,location/Bellevue,Teens,Locations,Series","Monday-Thursday when school is in session. We do something different each week, including crafts, gaming, robotics, 3D printing, and more. Join the fun after school! Grades 5-12.",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Bellevue,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Teens,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/series/Studio NPL,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Bellevue,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Series/Studio NPL,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Arts and Crafts,X-BEDEWORK-THUMB-IMAGE : values : text : http://www.library.nashville.org/images/bedework/studioNPL_Logo_thumb.jpg,X-BEDEWORK-IMAGE : values : text : http://www.library.nashville.org/images/bedework/studioNPL_Logo_290x290.jpg,X-BEDEWORK-SUBMITTEDBY : values : text : kcook for calsuite-MainCampus (agrp_calsuite-MainCampus) "
 Bellevue Writers Group: Share and Get Ideas,,%2Fpublic%2Fcals%2FMainCal,20160127-000060-BELLEVUE-201603011800%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160127-000060-BELLEVUE-201603011800%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,3/1/2016,1-Mar-16,Tuesday,6:00 PM,20160302T000000Z,20160301T180000,America/Chicago,FALSE,3/1/2016,1-Mar-16,Tuesday,6:00 PM,20160302T000000Z,20160301T180000,America/Chicago,Bellevue,http://www.library.nashville.org/locations/loc_bellevue.asp,Bellevue,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"Adults,location/Bellevue,Writing,Locations,Series",1st and 3rd Tuesdays each month. Bellevue Writers Group welcomes adults of all ages who write prose fiction and literary nonfiction. Join us as we share our works and receive feedback from fellow writers.,,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Bellevue,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Adults,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Writing "
 Story Time ,,%2Fpublic%2Fcals%2FMainCal,20160127-000066-BELLEVUE-201603021015%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160127-000066-BELLEVUE-201603021015%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,3/2/2016,2-Mar-16,Wednesday,10:15 AM,20160302T161500Z,20160302T101500,America/Chicago,FALSE,3/2/2016,2-Mar-16,Wednesday,10:15 AM,20160302T161500Z,20160302T101500,America/Chicago,Bellevue,http://www.library.nashville.org/locations/loc_bellevue.asp,Bellevue,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"location/Bellevue,Children,Story Time,Locations,Series","Every Wednesday at 10:15 and 11:15 a.m. Singing, fingerplays, rhymes, ABCs, 123s, stories, and much more with Miss Donna and Bear!",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Bellevue,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Children,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Story Time,X-BEDEWORK-THUMB-IMAGE : values : text : http://www.library.nashville.org/images/bedework/story-time_thumb.jpg,X-BEDEWORK-IMAGE : values : text : http://www.library.nashville.org/images/bedework/story-time_generic.jpg "
 Story Time,,%2Fpublic%2Fcals%2FMainCal,20160127-000079-BELLEVUE-201603021115%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160127-000079-BELLEVUE-201603021115%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,3/2/2016,2-Mar-16,Wednesday,11:15 AM,20160302T171500Z,20160302T111500,America/Chicago,FALSE,3/2/2016,2-Mar-16,Wednesday,11:15 AM,20160302T171500Z,20160302T111500,America/Chicago,Bellevue,http://www.library.nashville.org/locations/loc_bellevue.asp,Bellevue,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"location/Bellevue,Children,Story Time,Locations,Series","Every Wednesday at 10:15 and 11:15 a.m. Singing, fingerplays, rhymes, ABCs, 123s, stories, and much more with Miss Donna and Bear!",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Bellevue,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Children,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Story Time,X-BEDEWORK-THUMB-IMAGE : values : text : http://www.library.nashville.org/images/bedework/story-time_thumb.jpg,X-BEDEWORK-IMAGE : values : text : http://www.library.nashville.org/images/bedework/story-time_generic.jpg "
 Let's Watch Anime,,%2Fpublic%2Fcals%2FMainCal,20160127-000093-BELLEVUE-201603021615%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160127-000093-BELLEVUE-201603021615%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,3/2/2016,2-Mar-16,Wednesday,4:15 PM,20160302T221500Z,20160302T161500,America/Chicago,FALSE,3/2/2016,2-Mar-16,Wednesday,4:15 PM,20160302T221500Z,20160302T161500,America/Chicago,Bellevue,http://www.library.nashville.org/locations/loc_bellevue.asp,Bellevue,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"location/Bellevue,Teens,Locations",Celebrate Animanga month with fellow teens by watching anime! Grades 5-12.,,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Bellevue,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/series/Studio NPL,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Teens,X-BEDEWORK-SUBMITTEDBY : values : text : kcook for calsuite-MainCampus (agrp_calsuite-MainCampus) "
 Gentle Yoga for All Levels,,%2Fpublic%2Fcals%2FMainCal,CAL-2a3e9ebb-52c09089-0152-c29bc26b-000027bfdemobedework%40mysite.edu,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=CAL-2a3e9ebb-52c09089-0152-c29bc26b-000027bfdemobedework%40mysite.edu&amp;recurrenceId=,CONFIRMED,FALSE,3/2/2016,2-Mar-16,Wednesday,4:30 PM,20160302T223000Z,20160302T163000,America/Chicago,FALSE,3/2/2016,2-Mar-16,Wednesday,4:30 PM,20160302T223000Z,20160302T163000,America/Chicago,Bellevue,http://www.library.nashville.org/locations/loc_bellevue.asp,Bellevue,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"Adults,location/Bellevue,Health and Wellness,Locations","Every Wednesday, stretch, strengthen, balance, breathe, laugh, and relax with certified yoga instructors Kristina Giard-Bradford and Rebecca Dandekar. No experience necessary, but you must be able to move from standing to the floor repeatedly without assistance. Bring your own mat and other yoga props if needed. Mature children ages 11 and older are welcome to participate with a parent-signed waiver. If you are pregnant and have not practiced yoga before your pregnancy, we recommend you not participate, but rather find a prenatal class.",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Bellevue,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Adults,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Health and Wellness,X-BEDEWORK-SUBMITTEDBY : values : text : kcook for calsuite-MainCampus (agrp_calsuite-MainCampus) "
 Mindfulness Meditation,,%2Fpublic%2Fcals%2FMainCal,20160127-000125-BELLEVUE-201605251630%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160127-000125-BELLEVUE-201605251630%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,3/2/2016,2-Mar-16,Wednesday,6:30 PM,20160303T003000Z,20160302T183000,America/Chicago,FALSE,3/2/2016,2-Mar-16,Wednesday,6:30 PM,20160303T003000Z,20160302T183000,America/Chicago,Bellevue,http://www.library.nashville.org/locations/loc_bellevue.asp,Bellevue,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"Adults,location/Bellevue,Health and Wellness,Locations,Series","Every 1st Wednesday. Lisa Ernst, meditation teacher and founder of One Dharma Nashville, will demonstrate mindfulness techniques to help you reduce stress and increase overall well-being.",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Bellevue,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Adults,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Health and Wellness "
 Crayon Kids: Crafts and Fun,,%2Fpublic%2Fcals%2FMainCal,20160210-000009-BELLEVUE-201603021830%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160210-000009-BELLEVUE-201603021830%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,3/3/2016,3-Mar-16,Thursday,10:15 AM,20160303T161500Z,20160303T101500,America/Chicago,FALSE,3/3/2016,3-Mar-16,Thursday,10:15 AM,20160303T161500Z,20160303T101500,America/Chicago,Bellevue,http://www.library.nashville.org/locations/loc_bellevue.asp,Bellevue,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"Arts and Crafts,location/Bellevue,Children,Locations,Series","Every Thursday, join Ms. Katie at the library for some crafty fun!",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Bellevue,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Children,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Arts and Crafts "
 Scrabble Group for All Levels,,%2Fpublic%2Fcals%2FMainCal,20160127-000141-BELLEVUE-201605261015%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160127-000141-BELLEVUE-201605261015%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,3/3/2016,3-Mar-16,Thursday,1:30 PM,20160303T193000Z,20160303T133000,America/Chicago,FALSE,3/3/2016,3-Mar-16,Thursday,3:30 PM,20160303T213000Z,20160303T153000,America/Chicago,Bellevue,http://www.library.nashville.org/locations/loc_bellevue.asp,Bellevue,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"Adults,location/Bellevue,Locations,Series","Every Thursday, play Scrabble the old-fashioned way&hellip; on a board! All levels of players welcome. Bring your board if you have one.",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Bellevue,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Adults "
" Teen Studio: Crafts, Gaming, Robotics, and More",,%2Fpublic%2Fcals%2FMainCal,CAL-2a3e9ebb-52cca996-0152-cd10235d-0000734ddemobedework%40mysite.edu,20160303T221500Z,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=CAL-2a3e9ebb-52cca996-0152-cd10235d-0000734ddemobedework%40mysite.edu&amp;recurrenceId=20160303T221500Z,CONFIRMED,FALSE,3/3/2016,3-Mar-16,Thursday,4:15 PM,20160303T221500Z,20160303T161500,America/Chicago,FALSE,3/3/2016,3-Mar-16,Thursday,4:15 PM,20160303T221500Z,20160303T161500,America/Chicago,Bellevue,http://www.library.nashville.org/locations/loc_bellevue.asp,Bellevue,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"series/Studio NPL,location/Bellevue,Teens,Locations,Series,Author Talks","Monday-Thursday when school is in session. We do something different each week, including crafts, gaming, robotics, 3D printing, and more. Join the fun after school! Grades 5-12.",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Bellevue,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Teens,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/series/Studio NPL,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Bellevue,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Series/Studio NPL,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Author Talks,X-BEDEWORK-THUMB-IMAGE : values : text : http://www.library.nashville.org/images/bedework/studioNPL_Logo_thumb.jpg,X-BEDEWORK-IMAGE : values : text : http://www.library.nashville.org/images/bedework/studioNPL_Logo_290x290.jpg,X-BEDEWORK-SUBMITTEDBY : values : text : kcook for calsuite-MainCampus (agrp_calsuite-MainCampus) "
 Music Production Workshop,,%2Fpublic%2Fcals%2FMainCal,CAL-2a3e9ebb-52c09089-0152-c29c8a23-0000293cdemobedework%40mysite.edu,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=CAL-2a3e9ebb-52c09089-0152-c29c8a23-0000293cdemobedework%40mysite.edu&amp;recurrenceId=,CONFIRMED,FALSE,3/3/2016,3-Mar-16,Thursday,4:30 PM,20160303T223000Z,20160303T163000,America/Chicago,FALSE,3/3/2016,3-Mar-16,Thursday,6:00 PM,20160304T000000Z,20160303T180000,America/Chicago,Bellevue,http://www.library.nashville.org/locations/loc_bellevue.asp,Bellevue,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"series/Studio NPL,location/Bellevue,Teens,Locations,Music,Series","Every Thursday when school's in session. Learn how to make beats and music tracks using Logic Pro. Open to producers of all levels as well as songwriters, singers, rappers, and anyone interested in producing their own music. For teens in grades 7-12.",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Bellevue,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Teens,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/series/Studio NPL,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Music,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Bellevue,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Series/Studio NPL,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Music,X-BEDEWORK-THUMB-IMAGE : values : text : http://www.library.nashville.org/images/bedework/studioNPL_Logo_thumb.jpg,X-BEDEWORK-IMAGE : values : text : http://www.library.nashville.org/images/bedework/studioNPL_Logo_290x290.jpg,X-BEDEWORK-SUBMITTEDBY : values : text : kcook for calsuite-MainCampus (agrp_calsuite-MainCampus) "
